pos.x pos.y vol rho vel.x vel.y p a mu k shock-detector massf-N2 massf-O2 massf-N massf-O massf-NO dt_subcycle e T dt_local
 -0.164568 0.000209396 4.16888e-12 0.000529796 7600 4.37518e-11 40.3 326.244 1.67371e-05 0.0236599 0 0.7654 0.2346 -1.08105e-08 -1.70595e-08 -8.5826e-09 -1 -110574 264 2.18373e-07
 -0.16452 0.000209149 4.15896e-12 0.000529796 7600 4.25921e-11 40.3 326.244 1.67371e-05 0.0236599 0 0.7654 0.2346 -3.24247e-08 -5.12204e-08 -2.57641e-08 -1 -110576 264 2.18365e-07
 -0.164473 0.000208903 4.14894e-12 0.000529796 7600 -6.20415e-12 40.3 326.244 1.67371e-05 0.0236599 0 0.7654 0.2346 -5.40104e-08 -8.54146e-08 -4.29544e-08 -1 -110577 264 2.18352e-07
 -0.164425 0.000208657 4.13883e-12 0.000529796 7600 -8.08652e-11 40.3 326.244 1.67371e-05 0.0236599 0 0.7654 0.2346 -7.55431e-08 -1.19654e-07 -6.01542e-08 -1 -110578 264 2.18332e-07
 -0.164378 0.000208411 4.12861e-12 0.000529796 7600 -1.69481e-10 40.3 326.244 1.67371e-05 0.0236599 0 0.7654 0.2346 -9.6999e-08 -1.53949e-07 -7.73641e-08 -1 -110579 264 2.18307e-07
 -0.16433 0.000208164 4.11829e-12 0.000529796 7600 -2.63659e-10 40.3 326.244 1.67371e-05 0.0236599 0 0.7654 0.2346 -1.18354e-07 -1.88314e-07 -9.4584e-08 -1 -110581 264 2.18276e-07
 -0.164283 0.000207918 4.10788e-12 0.000529796 7600 -3.629e-10 40.3 326.244 1.67371e-05 0.0236599 0 0.7654 0.2346 -1.39582e-07 -2.22759e-07 -1.11814e-07 -1 -110582 264 2.18238e-07
 -0.164235 0.000207672 4.09737e-12 0.000529796 7600 -4.6822e-10 40.3 326.244 1.67371e-05 0.0236599 0 0.7654 0.2346 -1.60658e-07 -2.57298e-07 -1.29052e-07 -1 -110583 264 2.18195e-07
 -0.164188 0.000207426 4.08676e-12 0.000529796 7600 -5.77005e-10 40.3 326.244 1.67371e-05 0.0236599 0 0.7654 0.2346 -1.81556e-07 -2.91943e-07 -1.46296e-07 -1 -110585 264 2.18145e-07
 -0.16414 0.00020718 4.07606e-12 0.000529796 7600 -6.89225e-10 40.3 326.244 1.67371e-05 0.0236599 0 0.765401 0.2346 -2.0225e-07 -3.2671e-07 -1.63545e-07 -1 -110586 264 2.1809e-07
 -0.164093 0.000206934 4.06527e-12 0.000529796 7600 -8.0579e-10 40.3 326.244 1.67371e-05 0.0236599 0 0.765401 0.2346 -2.22712e-07 -3.61611e-07 -1.80793e-07 -1 -110587 264 2.18029e-07
 -0.164045 0.000206688 4.05438e-12 0.000529796 7600 -9.24938e-10 40.3 326.244 1.67371e-05 0.0236599 0 0.765401 0.2346 -2.42919e-07 -3.96661e-07 -1.98039e-07 -1 -110588 264 2.17962e-07
 -0.163998 0.000206442 4.04341e-12 0.000529796 7600 -1.04983e-09 40.3 326.244 1.67371e-05 0.0236599 0 0.765401 0.2346 -2.62846e-07 -4.31873e-07 -2.15277e-07 -1 -110590 264 2.17888e-07
 -0.163951 0.000206197 4.03234e-12 0.000529796 7600 -1.17742e-09 40.3 326.244 1.67371e-05 0.0236599 0 0.765401 0.2346 -2.82471e-07 -4.6726e-07 -2.32503e-07 -1 -110591 264 2.17809e-07
 -0.163903 0.000205951 4.02119e-12 0.000529796 7600 -1.30803e-09 40.3 326.244 1.67371e-05 0.0236599 0 0.765401 0.2346 -3.01768e-07 -5.02839e-07 -2.4971e-07 -1 -110592 264 2.17724e-07
 -0.163856 0.000205705 4.00995e-12 0.000529796 7600 -1.44381e-09 40.3 326.244 1.67371e-05 0.0236599 0 0.765401 0.2346 -3.20711e-07 -5.38628e-07 -2.66891e-07 -1 -110593 264 2.17633e-07
 -0.163808 0.00020546 3.99863e-12 0.000529796 7600 -1.5818e-09 40.3 326.244 1.67371e-05 0.0236599 0 0.765401 0.2346 -3.3927e-07 -5.74645e-07 -2.84034e-07 -1 -110595 264 2.17536e-07
 -0.163761 0.000205215 3.98722e-12 0.000529796 7600 -1.72372e-09 40.3 326.244 1.67371e-05 0.0236599 0 0.765401 0.2346 -3.57425e-07 -6.1091e-07 -3.01129e-07 -1 -110596 264 2.17434e-07
 -0.163714 0.00020497 3.97572e-12 0.000529796 7600 -1.86695e-09 40.3 326.244 1.67371e-05 0.0236599 0 0.765401 0.2346 -3.75166e-07 -6.47438e-07 -3.18167e-07 -1 -110597 264 2.17325e-07
 -0.163666 0.000204724 3.96415e-12 0.000529796 7600 -2.01557e-09 40.3 326.244 1.67371e-05 0.0236599 0 0.765401 0.2346 -3.9249e-07 -6.84239e-07 -3.35141e-07 -1 -110598 264 2.1721e-07
 -0.163619 0.00020448 3.95249e-12 0.000529796 7600 -2.16486e-09 40.3 326.244 1.67371e-05 0.0236599 0 0.765401 0.2346 -4.0939e-07 -7.2133e-07 -3.52044e-07 -1 -110599 264 2.1709e-07
 -0.163572 0.000204235 3.94075e-12 0.000529796 7600 -2.318e-09 40.3 326.244 1.67371e-05 0.0236599 0 0.765401 0.2346 -4.25851e-07 -7.58731e-07 -3.68866e-07 -1 -110601 264 2.16964e-07
 -0.163525 0.00020399 3.92894e-12 0.000529796 7600 -2.4727e-09 40.3 326.244 1.67371e-05 0.0236599 0 0.765401 0.2346 -4.41863e-07 -7.96463e-07 -3.85596e-07 -1 -110602 264 2.16832e-07
 -0.163477 0.000203746 3.91705e-12 0.000529796 7600 -2.62881e-09 40.3 326.244 1.67371e-05 0.0236599 0 0.765401 0.2346 -4.57419e-07 -8.34548e-07 -4.02218e-07 -1 -110603 264 2.16694e-07
 -0.16343 0.000203501 3.90508e-12 0.000529796 7600 -2.78932e-09 40.3 326.244 1.67371e-05 0.0236599 0 0.765401 0.2346 -4.7255e-07 -8.72986e-07 -4.18732e-07 -1 -110604 264 2.1655e-07
 -0.163383 0.000203257 3.89303e-12 0.000529796 7600 -2.95279e-09 40.3 326.244 1.67371e-05 0.0236599 0 0.765401 0.2346 -4.87283e-07 -9.11784e-07 -4.35131e-07 -1 -110605 264 2.16401e-07
 -0.163336 0.000203013 3.88092e-12 0.000529796 7600 -3.12118e-09 40.3 326.244 1.67371e-05 0.0236599 0 0.765401 0.2346 -5.01645e-07 -9.50943e-07 -4.51407e-07 -1 -110606 264 2.16245e-07
 -0.163289 0.000202769 3.86873e-12 0.000529796 7600 -3.29384e-09 40.3 326.244 1.67371e-05 0.0236599 0 0.765402 0.2346 -5.15675e-07 -9.90461e-07 -4.67551e-07 -1 -110607 264 2.16084e-07
 -0.163242 0.000202526 3.85647e-12 0.000529796 7600 -3.46365e-09 40.3 326.244 1.67371e-05 0.0236599 0 0.765402 0.2346 -5.29421e-07 -1.03033e-06 -4.83549e-07 -1 -110609 264 2.15918e-07
