pos.x pos.y vol rho vel.x vel.y p a mu k k-vibroelectronic shock-detector massf-N2 massf-O2 massf-N massf-O massf-NO massf-N2+ massf-O2+ massf-N+ massf-O+ massf-NO+ massf-e- dt_subcycle e T e-vibroelectronic T-vibroelectronic dt_local M_local pitot_p total_p total_h molef-N2 molef-O2 molef-N molef-O molef-NO molef-N2+ molef-O2+ molef-N+ molef-O+ molef-NO+ molef-e-
 -0.00714429 3.62232e-06 8.76755e-15 2.30996 0.000256696 3.09012e-05 222247 371.008 1.83899e-05 0.0275593 0.00016466 0 0.749804 0.135197 0.016837 0.0972011 0.000953078 6.49238e-10 3.23987e-06 3.14619e-12 4.23254e-07 4.53853e-06 1.31024e-10 -1 1.99571e+06 302.126 123.539 342.94 4.00287e-11 6.96885e-07 222247 222247 2.09192e+06 0.698837 0.110313 0.031385 0.158621 0.000829303 6.0512e-10 2.6436e-06 5.8649e-12 6.90727e-07 3.94919e-06 6.23601e-06
 -0.00714492 3.62244e-06 6.54875e-14 0.744349 0.182418 0.0124583 222245 638.507 3.75973e-05 0.058707 0.00774691 0 0.7475 0.116735 0.0186505 0.115087 0.00200311 2.96976e-09 4.7733e-06 2.25042e-08 1.40701e-05 5.27647e-06 6.39666e-10 -1 2.79699e+06 922.526 62192 1195.67 1.73671e-10 0.00028636 222245 222245 3.09557e+06 0.685503 0.09372 0.0342074 0.184794 0.00171498 2.72351e-09 3.83227e-06 4.1277e-08 2.25929e-05 4.51758e-06 2.99556e-05
 -0.00714582 3.62261e-06 1.4602e-13 0.47698 0.328191 0.0244411 222234 795.233 5.04316e-05 0.080374 0.0131111 0 0.743286 0.0967755 0.0219585 0.133985 0.00394148 1.2651e-08 6.66781e-06 1.61688e-07 3.98966e-05 6.0813e-06 1.57806e-09 -1 3.57613e+06 1413.74 119956 1562.72 3.10394e-10 0.000413841 222234 222234 4.04205e+06 0.669408 0.0763014 0.039552 0.211278 0.00331398 1.13938e-08 5.25724e-06 2.91246e-07 6.29141e-05 5.11323e-06 7.25746e-05
 -0.00714671 3.62277e-06 2.24876e-13 0.374775 0.426867 0.035291 222223 896.752 5.93062e-05 0.095759 0.0168705 0 0.73877 0.0820869 0.0257596 0.14783 0.00547167 3.40372e-08 7.67393e-06 4.66388e-07 6.62457e-05 6.76245e-06 2.52359e-09 -1 4.19656e+06 1773.66 164322 1817.48 4.23223e-10 0.000477639 222223 222223 4.78951e+06 0.655894 0.0638014 0.0457398 0.2298 0.00453524 3.02194e-08 5.9646e-06 8.28168e-07 0.000102981 5.60522e-06 0.000114411
 -0.00714761 3.62294e-06 3.06126e-13 0.315731 0.510078 0.0456709 222216 977.287 6.66209e-05 0.108707 0.019881 0 0.733831 0.0700436 0.0301571 0.159228 0.00663053 7.63043e-08 8.14643e-06 9.9584e-07 9.33515e-05 7.42046e-06 3.49471e-09 -1 4.75834e+06 2078.62 203474 2035.03 5.27799e-10 0.000524021 222216 222216 5.46215e+06 0.643257 0.0537513 0.0528699 0.244382 0.00542616 6.68877e-08 6.25166e-06 1.74592e-06 0.00014328 6.07272e-06 0.000156432
 -0.00714852 3.62311e-06 3.87001e-13 0.277426 0.584271 0.0555871 222208 1043.18 7.27641e-05 0.119782 0.0223998 0 0.728685 0.0602441 0.0349263 0.168572 0.00743421 1.48007e-07 8.26806e-06 1.76937e-06 0.000119997 8.06746e-06 4.45398e-09 -1 5.26707e+06 2338.86 238181 2225.79 6.24084e-10 0.000562616 222208 222208 6.06803e+06 0.631537 0.0457094 0.0605399 0.255803 0.0060152 1.28277e-07 6.27339e-06 3.06707e-06 0.000182099 6.5277e-06 0.000197121
 -0.0071494 3.62327e-06 4.65686e-13 0.250699 0.65177 0.0649855 222201 1098.15 7.79846e-05 0.129349 0.0245428 0 0.723498 0.0522852 0.0398713 0.176229 0.00795105 2.5489e-07 8.17947e-06 2.77625e-06 0.000145517 8.71931e-06 5.38095e-09 -1 5.72743e+06 2562.12 268908 2394.69 7.12268e-10 0.000596459 222201 222201 6.61376e+06 0.620736 0.0392718 0.0684164 0.264734 0.0063687 2.18691e-07 6.14376e-06 4.76405e-06 0.000218605 6.98419e-06 0.000235752
 -0.00715031 3.62344e-06 5.46715e-13 0.229786 0.718653 0.0744583 222195 1147.95 8.27793e-05 0.13827 0.0265159 0 0.717998 0.0453626 0.0452206 0.182956 0.00827049 4.11208e-07 7.95444e-06 4.0864e-06 0.000171361 9.44404e-06 6.33087e-09 -1 6.17427e+06 2768.37 298065 2555.92 7.98644e-10 0.000629385 222195 222195 7.14123e+06 0.610097 0.0337447 0.0768497 0.272197 0.0065609 3.49418e-07 5.91732e-06 6.94487e-06 0.000254956 7.492e-06 0.000274704
 -0.00715119 3.6236e-06 6.26199e-13 0.213579 0.783086 0.0835817 222189 1191.67 8.70348e-05 0.146301 0.0282744 0 0.712469 0.039584 0.050676 0.188628 0.00842195 6.16502e-07 7.65092e-06 5.64663e-06 0.00019629 1.02376e-05 7.26011e-09 -1 6.59116e+06 2952.07 324640 2704.3 8.79805e-10 0.000660863 222189 222189 7.63147e+06 0.60005 0.0291859 0.0853598 0.278157 0.00662202 5.19235e-07 5.64124e-06 9.51168e-06 0.000289466 8.04977e-06 0.000312241
 -0.00715211 3.62377e-06 7.08447e-13 0.199934 0.849553 0.0928682 222184 1232.72 9.10628e-05 0.154006 0.0299475 0 0.706631 0.0344688 0.0564985 0.193703 0.00845041 8.88129e-07 7.28441e-06 7.54995e-06 0.000221666 1.11764e-05 8.22094e-09 -1 7.00417e+06 3126.26 350348 2849.54 9.60663e-10 0.000693277 222184 222184 8.11545e+06 0.589996 0.025195 0.0943459 0.283175 0.00658704 7.41551e-07 5.32464e-06 1.2608e-05 0.000324065 8.71206e-06 0.000350513
