pos.x pos.y vol rho vel.x vel.y p a mu k shock-detector massf-H2 massf-H massf-He dt_subcycle e T dt_local molef-H2 molef-H molef-He
 -0.0244226 4.53743e-06 3.42682e-10 0.000268704 16023 -0.493488 578.104 1778.33 2.44946e-05 0.319401 0 0.430364 2.18076e-13 0.569636 -1 1.79747e+06 727.253 1.5632e-09 0.600014 6.08082e-13 0.399986
 -0.0243808 4.52588e-06 3.29833e-10 0.000268616 16023 -0.839486 577.891 1778.29 2.44939e-05 0.319391 0 0.430364 2.23721e-12 0.569636 -1 1.79728e+06 727.222 1.52529e-09 0.600014 6.23823e-12 0.399986
 -0.0243405 4.51474e-06 3.17318e-10 0.000268553 16023 -1.05623 577.741 1778.27 2.44935e-05 0.319385 0 0.430364 2.12263e-11 0.569636 -1 1.79716e+06 727.203 1.48736e-09 0.600014 5.91873e-11 0.399986
 -0.0243017 4.50401e-06 3.05163e-10 0.000268507 16023.1 -1.21265 577.633 1778.26 2.44932e-05 0.319382 0 0.430364 1.94175e-10 0.569636 -1 1.7971e+06 727.193 1.44956e-09 0.600014 5.41437e-10 0.399986
 -0.0242644 4.49368e-06 2.93396e-10 0.000268476 16023 -1.32905 577.577 1778.28 2.44936e-05 0.319386 0 0.430364 1.71513e-09 0.569636 -1 1.79718e+06 727.207 1.412e-09 0.600014 4.78247e-09 0.399986
 -0.0242284 4.48374e-06 2.8204e-10 0.00026845 16023 -1.4233 577.608 1778.41 2.44961e-05 0.319421 0 0.430364 1.46257e-08 0.569636 -1 1.79787e+06 727.316 1.37482e-09 0.600014 4.07823e-08 0.399986
 -0.0241938 4.47416e-06 2.7112e-10 0.000268438 16022.6 -1.49219 578.096 1779.19 2.45115e-05 0.319626 0 0.430364 1.2037e-07 0.569636 -1 1.80197e+06 727.963 1.338e-09 0.600014 3.35641e-07 0.399986
 -0.0241604 4.46494e-06 2.6066e-10 0.000268463 16020.7 -1.57239 581.006 1783.52 2.45966e-05 0.320764 0 0.430364 9.54826e-07 0.569636 -1 1.8248e+06 731.56 1.30096e-09 0.600012 2.66243e-06 0.399985
 -0.0241283 4.45607e-06 2.50684e-10 0.000268632 16010.1 -1.62616 596.451 1806.16 2.50436e-05 0.326754 0 0.430357 7.24726e-06 0.569636 -1 1.94565e+06 750.525 1.26032e-09 0.599998 2.02081e-05 0.399982
 -0.0240974 4.44752e-06 2.41214e-10 0.000269522 15957.3 -1.76394 671.643 1911.31 2.71685e-05 0.355447 0 0.430314 5.0891e-05 0.569636 -1 2.53524e+06 842.3 1.20343e-09 0.599901 0.000141894 0.399957
